step,id,x,y,z
0,0,0.501472,0.51574,0.518762
0,1,0.496903,0.493556,0.49636
0,2,0.507729,0.499764,0.504652
0,3,0.500775,0.50096,0.499485
0,4,0.507557,0.506744,0.499672
0,5,0.480708,0.53706,0.538483
0,6,0.499709,0.49631,0.499549
0,7,0.500064,0.502553,0.501765
0,8,0.499878,0.507979,0.496169
0,9,0.49168,0.486738,0.488801
0,10,0.499121,0.51728,0.494808
0,11,0.496369,0.500323,0.494853
0,12,0.493923,0.510212,0.506269
0,13,0.503186,0.496784,0.500718
0,14,0.53038,0.534881,0.513461
0,15,0.495008,0.506211,0.475231
0,16,0.492281,0.492783,0.498903
0,17,0.50071,0.501036,0.501435
0,18,0.492948,0.499707,0.500084
0,19,0.498595,0.502475,0.496259
0,20,0.495202,0.49842,0.495818
0,21,0.495116,0.495106,0.502162
0,22,0.503444,0.494256,0.498956
0,23,0.497482,0.501836,0.499734
0,24,0.489611,0.496815,0.485988
0,25,0.503828,0.495231,0.499644
0,26,0.501619,0.50004,0.499418
0,27,0.493985,0.475725,0.513751
0,28,0.498985,0.501336,0.500461
0,29,0.506243,0.502648,0.508748
0,30,0.500753,0.49578,0.500043
0,31,0.499631,0.503231,0.500935
0,32,0.533072,0.515299,0.531553
0,33,0.500169,0.502438,0.505006
0,34,0.515559,0.500586,0.500174
0,35,0.501701,0.512984,0.498635
0,36,0.498538,0.500882,0.496908
0,37,0.5048,0.505521,0.500301
0,38,0.500906,0.502481,0.499339
0,39,0.506156,0.506991,0.496424
0,40,0.501411,0.503396,0.499847
0,41,0.488859,0.488967,0.489234
0,42,0.498388,0.497619,0.495584
0,43,0.505012,0.500721,0.496688
0,44,0.496965,0.494419,0.503609
0,45,0.491332,0.503727,0.505682
0,46,0.490436,0.486203,0.491321
0,47,0.503214,0.497103,0.49666
0,48,0.502543,0.500423,0.504095
0,49,0.498144,0.503908,0.499921
0,50,0.498421,0.510336,0.503523
0,51,0.500747,0.507074,0.501887
0,52,0.504878,0.496355,0.500427
0,53,0.489302,0.510046,0.502271
0,54,0.501086,0.500831,0.499157
0,55,0.500238,0.513231,0.498042
0,56,0.499104,0.496036,0.502075
0,57,0.510693,0.506988,0.507175
0,58,0.496059,0.498449,0.501089
0,59,0.498065,0.504924,0.492592
0,60,0.499969,0.502965,0.500177
0,61,0.502376,0.501174,0.503656
0,62,0.499544,0.500521,0.502338
0,63,0.506678,0.494693,0.499553
0,64,0.499523,0.498506,0.497169
0,65,0.500089,0.500235,0.504917
0,66,0.491603,0.487114,0.495942
0,67,0.495427,0.492698,0.494934
0,68,0.497045,0.504238,0.505664
0,69,0.499818,0.483942,0.494447
0,70,0.501675,0.500202,0.497287
0,71,0.501427,0.509855,0.500147
0,72,0.490429,0.496056,0.503596
0,73,0.499086,0.500393,0.499879
0,74,0.492785,0.500018,0.500516
0,75,0.496679,0.501884,0.499
0,76,0.497804,0.493691,0.504873
0,77,0.491153,0.512566,0.494747
0,78,0.509034,0.499087,0.503719
0,79,0.500191,0.502488,0.499983
0,80,0.494223,0.500984,0.50121
0,81,0.50171,0.499969,0.498981
0,82,0.497097,0.497327,0.50123
0,83,0.506205,0.506056,0.498861
0,84,0.498483,0.503112,0.497995
0,85,0.498048,0.500951,0.496399
0,86,0.499801,0.503601,0.494949
0,87,0.503284,0.492433,0.497913
0,88,0.502064,0.500326,0.500965
0,89,0.498813,0.490953,0.498519
0,90,0.508065,0.505577,0.500314
0,91,0.481985,0.496888,0.508386
0,92,0.499413,0.460221,0.537286
0,93,0.498886,0.498208,0.498613
0,94,0.593168,0.511993,0.522773
0,95,0.511131,0.505108,0.498195
0,96,0.501,0.50053,0.5008
0,97,0.494183,0.504828,0.499537
0,98,0.517367,0.492468,0.499552
0,99,0.503598,0.497809,0.500818
1,0,0.501097,0.514744,0.519122
1,1,0.49827,0.492597,0.497385
1,2,0.50784,0.498907,0.50379
1,3,0.500992,0.501074,0.499803
1,4,0.507484,0.50536,0.500727
1,5,0.48132,0.537069,0.538512
1,6,0.498413,0.495615,0.499329
1,7,0.500968,0.502088,0.501255
1,8,0.4989,0.507104,0.496292
1,9,0.492335,0.48651,0.489011
1,10,0.499316,0.516567,0.495172
1,11,0.496093,0.498763,0.495457
1,12,0.494925,0.510364,0.505795
1,13,0.502965,0.496935,0.500637
1,14,0.530424,0.534723,0.512984
1,15,0.495006,0.506412,0.474698
1,16,0.49283,0.492896,0.499102
1,17,0.500451,0.499504,0.501969
1,18,0.492282,0.500982,0.500203
1,19,0.498022,0.501773,0.496663
1,20,0.495235,0.496785,0.494337
1,21,0.49434,0.495444,0.504252
1,22,0.503937,0.494223,0.499685
1,23,0.496548,0.5036,0.498412
1,24,0.489084,0.497583,0.48706
1,25,0.502555,0.494241,0.499253
1,26,0.499974,0.500933,0.4981
1,27,0.493998,0.476243,0.513402
1,28,0.499186,0.500771,0.501433
1,29,0.506175,0.503424,0.509746
1,30,0.501601,0.495356,0.500423
1,31,0.499443,0.503373,0.499524
1,32,0.53253,0.515293,0.531642
1,33,0.499717,0.504827,0.506271
1,34,0.513662,0.4997,0.500129
1,35,0.50066,0.513274,0.49948
1,36,0.499032,0.500251,0.497641
1,37,0.505467,0.504899,0.50119
1,38,0.501437,0.502112,0.500677
1,39,0.506159,0.50911,0.495836
1,40,0.503388,0.50539,0.499603
1,41,0.488572,0.488471,0.48907
1,42,0.498116,0.497679,0.496145
1,43,0.505082,0.500098,0.497178
1,44,0.495853,0.494557,0.502874
1,45,0.491229,0.502429,0.505798
1,46,0.48978,0.486072,0.492195
1,47,0.503198,0.497325,0.495223
1,48,0.502973,0.500792,0.504829
1,49,0.49866,0.503936,0.499796
1,50,0.498156,0.510495,0.503871
1,51,0.501062,0.509688,0.502012
1,52,0.506499,0.496661,0.501041
1,53,0.489971,0.5099,0.502322
1,54,0.50097,0.502235,0.499563
1,55,0.499881,0.512408,0.498623
1,56,0.500676,0.49537,0.501329
1,57,0.511736,0.508078,0.507838
1,58,0.496619,0.498396,0.5015
1,59,0.498965,0.50749,0.491435
1,60,0.49897,0.505736,0.499329
1,61,0.503824,0.503215,0.504788
1,62,0.500385,0.499857,0.502897
1,63,0.506554,0.495763,0.498823
1,64,0.501181,0.499614,0.496069
1,65,0.499875,0.498544,0.506958
1,66,0.491082,0.485869,0.495433
1,67,0.495373,0.49325,0.494436
1,68,0.497253,0.506062,0.5069
1,69,0.499988,0.483309,0.496128
1,70,0.500505,0.500441,0.497273
1,71,0.499737,0.51184,0.499712
