step,KE,PE,Total,Px,Py,Pz
0,30.9813,-44.3464,-13.3651,0.170129,0.173663,0.629366
1,29.6253,-42.7725,-13.1471,0.170129,0.173663,0.629366
2,28.0823,-39.9083,-11.826,0.170129,0.173663,0.629366
3,26.5127,-38.8623,-12.3496,0.170129,0.173663,0.629366
4,25.0356,-38.3111,-13.2755,0.170129,0.173663,0.629366
5,23.5295,-37.2094,-13.6799,0.170129,0.173663,0.629366
6,22.1852,-36.4825,-14.2972,0.170129,0.173663,0.629366
7,21.0463,-33.8799,-12.8336,0.170129,0.173663,0.629366
8,19.9814,-33.1746,-13.1932,0.170129,0.173663,0.629366
9,19.1095,-32.6224,-13.5129,0.170129,0.173663,0.629366
10,18.258,-30.727,-12.469,0.170129,0.173663,0.629366
11,17.4581,-29.6392,-12.1811,0.170129,0.173663,0.629366
12,16.7225,-29.6027,-12.8803,0.170129,0.173663,0.629366
13,16.1423,-28.2199,-12.0776,0.170129,0.173663,0.629366
14,15.5904,-27.2057,-11.6153,0.170129,0.173663,0.629366
15,15.0608,-26.8291,-11.7683,0.170129,0.173663,0.629366
16,14.5771,-26.3649,-11.7879,0.170129,0.173663,0.629366
17,14.1776,-25.8319,-11.6543,0.170129,0.173663,0.629366
18,13.7387,-25.3365,-11.5978,0.170129,0.173663,0.629366
19,13.3571,-25.0558,-11.6986,0.170129,0.173663,0.629366
20,13.0386,-24.8923,-11.8537,0.170129,0.173663,0.629366
21,12.7797,-24.255,-11.4753,0.170129,0.173663,0.629366
22,12.5691,-24.349,-11.7799,0.170129,0.173663,0.629366
23,12.3641,-23.9049,-11.5409,0.170129,0.173663,0.629366
24,12.1075,-23.3274,-11.2199,0.170129,0.173663,0.629366
25,11.9124,-23.2909,-11.3785,0.170129,0.173663,0.629366
26,11.7594,-23.3406,-11.5812,0.170129,0.173663,0.629366
27,11.6474,-23.4394,-11.792,0.170129,0.173663,0.629366
28,11.6265,-22.8369,-11.2104,0.170129,0.173663,0.629366
29,11.6166,-23.3092,-11.6926,0.170129,0.173663,0.629366
30,11.65,-23.2297,-11.5797,0.170129,0.173663,0.629366
31,11.7114,-23.4227,-11.7113,0.170129,0.173663,0.629366
32,11.8026,-23.2795,-11.4768,0.170129,0.173663,0.629366
33,11.8334,-24.0291,-12.1957,0.170129,0.173663,0.629366
34,11.7975,-23.7103,-11.9128,0.170129,0.173663,0.629366
35,11.7752,-23.4473,-11.6721,0.170129,0.173663,0.629366
36,11.8269,-24.153,-12.3261,0.170129,0.173663,0.629366
37,11.8888,-23.746,-11.8572,0.170129,0.173663,0.629366
38,11.9342,-23.7524,-11.8182,0.170129,0.173663,0.629366
39,11.9261,-23.2123,-11.2862,0.170129,0.173663,0.629366
40,11.8864,-22.9839,-11.0975,0.170129,0.173663,0.629366
41,11.8573,-23.1634,-11.3061,0.170129,0.173663,0.629366
42,11.8438,-23.5479,-11.7041,0.170129,0.173663,0.629366
43,11.9019,-23.1108,-11.2089,0.170129,0.173663,0.629366
44,11.8408,-22.7324,-10.8917,0.170129,0.173663,0.629366
45,11.7908,-23.0863,-11.2955,0.170129,0.173663,0.629366
46,11.6472,-22.5602,-10.913,0.170129,0.173663,0.629366
47,11.5823,-22.7822,-11.2,0.170129,0.173663,0.629366
48,11.447,-22.4902,-11.0432,0.170129,0.173663,0.629366
49,11.3771,-21.6797,-10.3026,0.170129,0.173663,0.629366
50,11.3438,-21.8278,-10.4839,0.170129,0.173663,0.629366
51,11.3162,-21.4602,-10.1439,0.170129,0.173663,0.629366
52,11.2453,-21.7094,-10.464,0.170129,0.173663,0.629366
53,11.1915,-21.8561,-10.6645,0.170129,0.173663,0.629366
